Percorso,Estensione,Dimensione,Dimensioni immagine,Stato uso,Dove è referenziato,Tipo presunto,Rischio modifica,Note
assets/img/cerchi/cerchi-guida-15-adam-smith-scambio-simpatia-ricchezza-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,cerchi/index.html; guida Adam Smith / preview probabile,cover guida Cerchi,"PROTETTO — non rinominare, non spostare, non rimuovere",Coerente con standard attuale.
assets/img/saggi/site/saggio-0-cosmo-algoritmo_16x9_v01.webp,webp,non rilevata,1600x900 da HTML,USATO,"index.html, saggi.html, autore.html, home/saggi/autore OG/Twitter, card Saggio 0",cover saggio / immagine Open Graph,"PROTETTO — non rinominare, non spostare, non rimuovere",Asset molto centrale: preview social di più pagine.
assets/img/saggi/site/saggio-1-1999-paura-diventare-uguali-cover.webp,webp,non rilevata,1600x900 da HTML,USATO,saggi.html; pagina Saggio 1 / preview probabile,cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Nome non pienamente uniforme rispetto ai file `_site_1600x900`.
assets/img/saggi/site/saggio-2-il-primo-cerchio-cover.webp,webp,non rilevata,1600x900 da HTML,USATO,"saggi.html, pagina Saggio 2, OG/Twitter probabili",cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Nome non pienamente uniforme rispetto ai file `_site_1600x900`.
assets/img/saggi/site/saggio-3-governi-senza-firma.webp,webp,non rilevata,1600x900 da HTML,USATO,saggi.html; pagina Saggio 3 / preview probabile,cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Nome compatto legacy.
assets/img/saggi/site/saggio-04-metafisica-del-sesso.webp,webp,non rilevata,1600x900 da HTML,USATO,saggi.html; pagina Saggio 4 / preview probabile,cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Numerazione con zero iniziale diversa da altri saggi.
assets/img/saggi/site/saggio-5-il-reale-in-modalita-scorrimento.webp,webp,non rilevata,1600x900 da HTML,USATO,saggi.html; pagina Saggio 5 / preview probabile,cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Nome legacy ma attivo.
assets/img/saggi/site/saggio-6-fenomenologia-del-potere_site_1672x941.webp,webp,non rilevata,1672x941 da nome/HTML,USATO,saggi.html; pagina Saggio 6 / preview probabile,cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Dimensione non 1600x900: candidato a verifica peso/ratio in futura patch.
assets/img/saggi/site/saggio-7-il-cerchio-e-aperto.webp,webp,non rilevata,1600x900 da HTML,USATO,saggi.html; pagina Saggio 7 / preview probabile,cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Nome legacy ma attivo.
assets/img/saggi/site/saggio-08-il-costo-della-complessita_site_1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,saggi.html; pagina Saggio 8 / preview probabile,cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Nome con zero iniziale e suffisso `_site_`.
assets/img/saggi/site/saggio-09-la-promessa-del-ritorno_site_1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,saggi.html; pagina Saggio 9 / preview probabile,cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Nome con zero iniziale e suffisso `_site_`.
assets/img/saggi/site/saggio-10-giovani-senilita-potere_site_1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"saggi.html, index.html precedente/possibile, pagina Saggio 10 / preview probabile",cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Formato coerente recente.
assets/img/saggi/site/saggio-11-chi-decide-il-sole_site_1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"saggi.html, index.html precedente/possibile, pagina Saggio 11 / preview probabile",cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Formato coerente recente.
assets/img/saggi/site/saggio-12-le-periferie-del-potere.webp,webp,non rilevata,1600x900 da HTML,USATO,"index.html, saggi.html, Saggio 12 head/body/Article JSON-LD",cover saggio / immagine Open Graph,"PROTETTO — non rinominare, non spostare, non rimuovere",Asset centrale per Saggio 12 e preview social.
assets/img/saggi/site/saggio-12-supporto-cartolina-libro-territorio.webp,webp,non rilevata,non rilevabile da HTML,USATO,saggi/saggio-12-le-periferie-del-potere.html immagine interna articolo,immagine interna articolo,"PROTETTO — non rinominare, non spostare, non rimuovere","Immagine interna: non è cover, ma è pubblicata nel corpo del saggio."
assets/img/saggi/site/saggio-13-la-periferia-intelligente-cover-final-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, saggi.html, pagina Saggio 13 / preview probabile",cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere","`cover-final` segnala possibile export da workflow grafico/social, ma è pubblicato."
assets/img/saggi/site/saggio-14-metafisica-dell-amore_site_1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,"index.html, saggi.html, pagina Saggio 14 / preview probabile",cover saggio,"PROTETTO — non rinominare, non spostare, non rimuovere",Formato coerente recente.
assets/img/autore/alessandro-gentili-ritratto-autore-strategist-800x1000.webp,webp,non rilevata,800x1000 da nome/HTML,USATO,"autore.html body, Person JSON-LD image",immagine autore / profilo,"PROTETTO — non rinominare, non spostare, non rimuovere",Usata anche in dati strutturati.
assets/img/autore/alessandro-gentili-strategy-writing-ai-systems-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,en.html immagine editoriale,immagine Open Graph potenziale / immagine autore,"PROTETTO — non rinominare, non spostare, non rimuovere",Immagine editoriale international.
assets/img/temi/temi-potere-apparati-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,temi/potere-apparati.html,immagine interna articolo / percorso tematico,"PROTETTO — non rinominare, non spostare, non rimuovere",Immagine editoriale di percorso tema.
assets/img/temi/temi-periferie-territorio-comunita-1600x900.webp,webp,non rilevata,1600x900 da nome/HTML,USATO,temi/periferie-territorio-comunita.html,immagine interna articolo / percorso tematico,"PROTETTO — non rinominare, non spostare, non rimuovere",Immagine editoriale di percorso tema.
