percorso,estensione,git_blob_sha,esistenza_main,dimensione_dedotta,classe,rischio_modifica,azione_consigliata
assets/img/cerchi/cerchi-inchiostro-cover-madre-1600x900.jpg,jpg,0d97d29d1f8452303cdfa0bfcc70ca1aac0923e2,verificato,1600x900 da nome/HTML,Cerchi / cover madre,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-14-georg-simmel-denaro-metropoli-individualita-1600x900.webp,webp,feb52947606a22cbeb62526a765477924af39ccd,verificato,1600x900 da nome/HTML,Cerchi / cover guida 14,PROTETTO,nessuna modifica; mantenere stabile
assets/img/cerchi/cerchi-guida-15-adam-smith-scambio-simpatia-ricchezza-1600x900.webp,webp,c77b4779d03349614e1acff22edc00f821187637,verificato,1600x900 da nome/HTML,Cerchi / cover guida 15,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-0-cosmo-algoritmo_16x9_v01.webp,webp,a776b49c1ecefa8563114fe5fe6326b8eb606586,verificato,1600x900 da HTML,Saggi / cover saggio 0 e preview trasversale,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-1-1999-paura-diventare-uguali-cover.webp,webp,bdafee78d0db81889030e1904b3f72331ba69b56,verificato,1600x900 da HTML,Saggi / cover saggio 1,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-2-il-primo-cerchio-cover.webp,webp,27afac1e246c6fd120ef6037f779f520f7c0cb37,verificato,1600x900 da HTML,Saggi / cover saggio 2,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-3-governi-senza-firma.webp,webp,52fc7374f3fdb9f42e679396bc534f889a7d68d5,verificato,1600x900 da HTML,Saggi / cover saggio 3,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-04-metafisica-del-sesso.webp,webp,8f9dffaad5472bb96f4e5199e29636479833981d,verificato,1600x900 da HTML,Saggi / cover saggio 4,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-5-il-reale-in-modalita-scorrimento.webp,webp,1898f56874dae00b4b5146dcddc52c30fc4ee9c2,verificato,1600x900 da HTML,Saggi / cover saggio 5,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-6-fenomenologia-del-potere_site_1672x941.webp,webp,25426ec6ee033e3e46241537dc7fc74310309616,verificato,1672x941 da nome/HTML,Saggi / cover saggio 6,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-7-il-cerchio-e-aperto.webp,webp,3682605c403229ac815a80a39e59b3436af8dd13,verificato,1600x900 da HTML,Saggi / cover saggio 7,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-08-il-costo-della-complessita_site_1600x900.webp,webp,5646b781f5a3e9413f3115e6126ceae739d67aec,verificato,1600x900 da nome/HTML,Saggi / cover saggio 8,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-09-la-promessa-del-ritorno_site_1600x900.webp,webp,9bdb31255946e2d54989047e2e0aa84348bf2d4f,verificato,1600x900 da nome/HTML,Saggi / cover saggio 9,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-10-giovani-senilita-potere_site_1600x900.webp,webp,494b0adb15d9da96f4d7c115f27ae1cc5f31a691,verificato,1600x900 da nome/HTML,Saggi / cover saggio 10,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-11-chi-decide-il-sole_site_1600x900.webp,webp,ac2c4c558c5dcdd2bb7131787afb85a438c35c83,verificato,1600x900 da nome/HTML,Saggi / cover saggio 11,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-12-le-periferie-del-potere.webp,webp,e76b64f6fffea675dc9bf9ae9e2b32b37be7cdd0,verificato,1600x900 da HTML,Saggi / cover saggio 12,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-12-supporto-cartolina-libro-territorio.webp,webp,c69d7d91381acecb54bc7b26fd16632f59a2f794,verificato,non rilevabile da HTML,Saggi / immagine interna saggio 12,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-13-la-periferia-intelligente-cover-final-1600x900.webp,webp,1c64f4bebd85c431acfa6c80a6551f9866dff6cb,verificato,1600x900 da nome/HTML,Saggi / cover saggio 13,PROTETTO,nessuna modifica; mantenere stabile
assets/img/saggi/site/saggio-14-metafisica-dell-amore_site_1600x900.webp,webp,d48c0e82020699f55bc7baa97a2dbae06205552e,verificato,1600x900 da nome/HTML,Saggi / cover saggio 14,PROTETTO,nessuna modifica; mantenere stabile
assets/img/autore/alessandro-gentili-ritratto-autore-strategist-800x1000.webp,webp,ace9cdd4bd1a2b6197c162edb915148ee2d9a47e,verificato,800x1000 da nome/HTML,Autore / ritratto profilo,PROTETTO,nessuna modifica; mantenere stabile
assets/img/autore/alessandro-gentili-strategy-writing-ai-systems-1600x900.webp,webp,e93291d001a90012e2d07a47c597151b014f9b7c,verificato,1600x900 da nome/HTML,Autore / international,PROTETTO,nessuna modifica; mantenere stabile
assets/img/temi/temi-potere-apparati-1600x900.webp,webp,527b81ad46f4660bff6fb599b25f54dba83c72cd,verificato,1600x900 da nome/HTML,Temi / potere e apparati,PROTETTO,nessuna modifica; mantenere stabile
assets/img/temi/temi-periferie-territorio-comunita-1600x900.webp,webp,da808f7e73b5597ee1690006e5b80f37e4796227,verificato,1600x900 da nome/HTML,Temi / periferie territorio comunità,PROTETTO,nessuna modifica; mantenere stabile
